week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id,profile_picture
2019.01.28,2019,1,28,163,163,26,up,28,336,15,/en/players/daniel-evans/e687/overview,daniel-evans,Daniel Evans,GBR,e687,www.atptour.com/-/media/tennis/devans.jpg
2019.01.28,2019,1,28,164,164,32,up,23,330,26,/en/players/brayden-schnur/sp24/overview,brayden-schnur,Brayden Schnur,CAN,sp24,www.atptour.com/-/media/tennis/players/head-shot/lq/active/schnur_b_headshot_lq16.png
2019.01.28,2019,1,28,165,165,3,up,25,327,28,/en/players/oscar-otte/o449/overview,oscar-otte,Oscar Otte,GER,o449,www.atptour.com/-/media/tennis/players/head-shot/2018/otte_head_ao18.png
2019.01.28,2019,1,28,166,166,1,up,23,326,23,/en/players/filippo-baldi/bm03/overview,filippo-baldi,Filippo Baldi,ITA,bm03,www.atptour.com/-/media/tennis/doubles/head-shot/2018/08/06/13/57/baldi_filippo_2018.png
2019.01.28,2019,1,28,167,167,6,down,28,324,21,/en/players/alessandro-giannessi/g983/overview,alessandro-giannessi,Alessandro Giannessi,ITA,g983,www.atptour.com/-/media/tennis/players/head-shot/2017/giannessi_headao17.png
2019.01.28,2019,1,28,168,168,1,up,21,318,30,/en/players/marc-polmans/pg94/overview,marc-polmans,Marc Polmans,AUS,pg94,www.atptour.com/-/media/tennis/players/head-shot/2017/pohlmans_002_ao17_headshot-template.png
2019.01.28,2019,1,28,169,169,13,down,26,314,23,/en/players/salvatore-caruso/ce25/overview,salvatore-caruso,Salvatore Caruso,ITA,ce25,www.atptour.com/-/media/tennis/players/head-shot/2018/caruso_head_ao18.png
2019.01.28,2019,1,28,170,170,8,down,26,312,19,/en/players/yasutaka-uchiyama/u134/overview,yasutaka-uchiyama,Yasutaka Uchiyama,JPN,u134,www.atptour.com/-/media/tennis/players/head-shot/lq/active/uchiyama-y_headshot_getty14.png
2019.01.28,2019,1,28,171,171,7,down,21,310,28,/en/players/alexander-bublik/bk92/overview,alexander-bublik,Alexander Bublik,KAZ,bk92,www.atptour.com/-/media/tennis/players/head-shot/2018/bublik_head_ao18.png
2019.01.28,2019,1,28,172,172,1,down,26,308,21,/en/players/darian-king/kc86/overview,darian-king,Darian King,BAR,kc86,www.atptour.com/-/media/tennis/players/head-shot/lq/active/king_d_lq16_headshot.png
2019.01.28,2019,1,28,173,173,,,24,305,29,/en/players/pedja-krstin/kd70/overview,pedja-krstin,Pedja Krstin,SRB,kd70,www.atptour.com/-/media/tennis/players/head-shot/2019/krstin_head_pp19.png
2019.01.28,2019,1,28,174,174,,,23,300,23,/en/players/nikola-milojevic/mm66/overview,nikola-milojevic,Nikola Milojevic,SRB,mm66,www.atptour.com/-/media/tennis/players/head-shot/lq/active/milojevic-n_headshot_getty.png
2019.01.28,2019,1,28,175,175,3,up,31,298,31,/en/players/andrea-arnaboldi/a622/overview,andrea-arnaboldi,Andrea Arnaboldi,ITA,a622,www.atptour.com/-/media/tennis/players/head-shot/lq/active/arnaboldi-a_headshot_lq14.png
2019.01.28,2019,1,28,176,176,4,up,22,293,24,/en/players/sebastian-ofner/o513/overview,sebastian-ofner,Sebastian Ofner,AUT,o513,www.atptour.com/-/media/tennis/players/head-shot/lq/active/ofner_sebastian_2017.png
2019.01.28,2019,1,28,177,177,8,up,28,292,27,/en/players/hiroki-moriya/mi01/overview,hiroki-moriya,Hiroki Moriya,JPN,mi01,www.atptour.com/-/media/tennis/players/head-shot/2018/moriya_hiroki_2018.png
2019.01.28,2019,1,28,178,178,3,up,26,291,26,/en/players/roberto-quiroz/q941/overview,roberto-quiroz,Roberto Quiroz,ECU,q941,www.atptour.com/-/media/tennis/players/head-shot/2018/quiroz_roberto_getty18.png
2019.01.28,2019,1,28,179,179,4,down,26,290,25,/en/players/alexey-vatutin/v717/overview,alexey-vatutin,Alexey Vatutin,RUS,v717,www.atptour.com/-/media/tennis/players/head-shot/lq/active/vatutin_alexey_16.png
2019.01.28,2019,1,28,180,180,7,up,31,286,24,/en/players/james-ward/w503/overview,james-ward,James Ward,GBR,w503,www.atptour.com/-/media/tennis/players/head-shot/2018/ward_james_head_pp18.png
2019.01.28,2019,1,28,181,181,3,up,29,284,23,/en/players/andrej-martin/mf35/overview,andrej-martin,Andrej Martin,SVK,mf35,www.atptour.com/-/media/tennis/players/head-shot/lq/active/martin-a_headshot_lq15.png
2019.01.28,2019,1,28,182,182,24,up,18,281,15,/en/players/rudolf-molleker/m0ac/overview,rudolf-molleker,Rudolf Molleker,GER,m0ac,www.atptour.com/-/media/tennis/players/head-shot/2018/molleker_rudolf_getty18.png
