week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id
2019.06.24,2019,6,24,154,154,1,up,24,364,28,/en/players/ramkumar-ramanathan/rb56/overview,ramkumar-ramanathan,Ramkumar Ramanathan,IND,rb56
2019.06.24,2019,6,24,155,155,9,down,21,361,16,/en/players/michael-mmoh/mp01/overview,michael-mmoh,Michael Mmoh,USA,mp01
2019.06.24,2019,6,24,156,156,,,23,360,18,/en/players/hyeon-chung/ch27/overview,hyeon-chung,Hyeon Chung,KOR,ch27
2019.06.24,2019,6,24,157,157,1,up,34,358,14,/en/players/dudi-sela/sc56/overview,dudi-sela,Dudi Sela,ISR,sc56
2019.06.24,2019,6,24,158,158,3,up,25,356,24,/en/players/marcos-giron/gc88/overview,marcos-giron,Marcos Giron,USA,gc88
2019.06.24,2019,6,24,159,159,,,31,355,25,/en/players/tatsuma-ito/i230/overview,tatsuma-ito,Tatsuma Ito,JPN,i230
2019.06.24,2019,6,24,160,160,,,22,354,32,/en/players/quentin-halys/hb64/overview,quentin-halys,Quentin Halys,FRA,hb64
2019.06.24,2019,6,24,161,161,41,up,28,353,23,/en/players/norbert-gombos/gb93/overview,norbert-gombos,Norbert Gombos,SVK,gb93
2019.06.24,2019,6,24,162,162,7,up,34,350,27,/en/players/go-soeda/sc47/overview,go-soeda,Go Soeda,JPN,sc47
2019.06.24,2019,6,24,163,163,1,down,29,348,19,/en/players/alessandro-giannessi/g983/overview,alessandro-giannessi,Alessandro Giannessi,ITA,g983
2019.06.24,2019,6,24,164,164,28,down,29,343,22,/en/players/facundo-bagnis/bf23/overview,facundo-bagnis,Facundo Bagnis,ARG,bf23
2019.06.24,2019,6,24,165,165,2,down,29,343,18,/en/players/marco-trungelliti/ta29/overview,marco-trungelliti,Marco Trungelliti,ARG,ta29
2019.06.24,2019,6,24,166,166,2,down,20,342,22,/en/players/jay-clarke/ci14/overview,jay-clarke,Jay Clarke,GBR,ci14
2019.06.24,2019,6,24,167,167,7,up,28,336,21,/en/players/blaz-rola/ra51/overview,blaz-rola,Blaz Rola,SLO,ra51
2019.06.24,2019,6,24,168,168,2,down,25,331,25,/en/players/joao-domingues/d985/overview,joao-domingues,Joao Domingues,POR,d985
2019.06.24,2019,6,24,169,169,24,down,26,330,12,/en/players/jozef-kovalik/kc04/overview,jozef-kovalik,Jozef Kovalik,SVK,kc04
2019.06.24,2019,6,24,170,170,13,down,26,327,22,/en/players/egor-gerasimov/gc89/overview,egor-gerasimov,Egor Gerasimov,BLR,gc89
2019.06.24,2019,6,24,171,171,4,up,31,311,23,/en/players/ruben-bemelmans/be54/overview,ruben-bemelmans,Ruben Bemelmans,BEL,be54
2019.06.24,2019,6,24,172,172,2,down,25,311,21,/en/players/mikael-torpegaard/tc12/overview,mikael-torpegaard,Mikael Torpegaard,DEN,tc12
2019.06.24,2019,6,24,173,173,2,down,26,310,10,/en/players/jack-sock/sm25/overview,jack-sock,Jack Sock,USA,sm25
2019.06.24,2019,6,24,174,174,42,up,37,310,21,/en/players/tommy-robredo/r419/overview,tommy-robredo,Tommy Robredo,ESP,r419
2019.06.24,2019,6,24,175,175,25,up,27,309,31,/en/players/federico-gaio/gb53/overview,federico-gaio,Federico Gaio,ITA,gb53
2019.06.24,2019,6,24,176,176,3,down,24,303,24,/en/players/maximilian-marterer/mn13/overview,maximilian-marterer,Maximilian Marterer,GER,mn13
2019.06.24,2019,6,24,177,177,2,up,27,299,23,/en/players/federico-coria/ce77/overview,federico-coria,Federico Coria,ARG,ce77
2019.06.24,2019,6,24,178,178,6,down,26,299,23,/en/players/filip-horansky/ha28/overview,filip-horansky,Filip Horansky,SVK,ha28
2019.06.24,2019,6,24,179,179,2,down,24,299,27,/en/players/stefano-napolitano/n679/overview,stefano-napolitano,Stefano Napolitano,ITA,n679
2019.06.24,2019,6,24,180,180,15,up,26,298,26,/en/players/facundo-arguello/a941/overview,facundo-arguello,Facundo Arguello,ARG,a941
